N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
131,한미사이언스,"33,750","상승
				1,200",+3.69%,500,"23,082","68,392",3.39,"181,441",22.25,15.23,
132,코스모신소재,"69,100","상승
				5,600",+8.82%,"1,000","22,465","32,511",13.88,"463,076",86.05,7.41,
133,한온시스템,"4,185","상승
				50",+1.21%,100,"22,340","533,800",8.47,"691,031",-21.80,2.21,
134,KODEX 미국S&P500TR,"19,125","상승
				95",+0.50%,0,"22,185","116,000",0.30,"2,557,224",N/A,N/A,
135,KODEX 200TR,"11,835","상승
				150",+1.28%,0,"21,871","184,800",0.00,"158,227",N/A,N/A,
136,롯데지주,"20,750","하락
				200",-0.95%,200,"21,769","104,909",7.55,"142,997",-5.20,-0.22,
137,한화,"28,950","하락
				100",-0.34%,"5,000","21,701","74,959",12.41,"89,604",-44.81,3.52,
138,대한전선,"11,500","상승
				290",+2.59%,"1,000","21,441","186,447",6.96,"677,117",17.42,7.83,
139,RISE 머니마켓액티브,"53,270",보합0,0.00%,0,"21,380","40,136",0.94,"123,933",N/A,N/A,
140,한전KPS,"46,650","상승
				300",+0.65%,200,"20,992","45,000",14.58,"94,647",11.47,13.08,
141,제일기획,"18,090","상승
				60",+0.33%,200,"20,811","115,041",21.56,"94,046",11.15,14.99,
142,KCC,"233,000","하락
				1,000",-0.43%,"5,000","20,705","8,886",13.62,"26,077",4.47,4.13,
143,농심,"340,000","상승
				2,000",+0.59%,"5,000","20,681","6,083",18.80,"7,960",13.34,7.26,
144,현대엘리베이,"52,100","상승
				1,100",+2.16%,"5,000","20,367","39,092",28.06,"95,159",30.58,26.15,
145,에이피알,"53,400","상승
				2,000",+3.89%,100,"20,353","38,113",14.25,"450,155",22.63,54.88,
146,SK아이이테크놀로지,"28,400","상승
				1,400",+5.19%,"1,000","20,249","71,298",7.80,"134,897",-29.96,3.58,
147,더존비즈온,"65,700","상승
				2,100",+3.30%,500,"19,961","30,383",10.60,"187,510",45.66,8.19,
148,한화인더스트리얼솔루션즈,"39,300","상승
				100",+0.26%,500,"19,842","50,488",21.80,"648,415",N/A,N/A,
